Società;La classe media sta scomparendo;https://x.com/GameofTrades_/status/1763187365827268668;;;;;;
Clima;Monitoraggio delle anomalie delle temperature;https://x.com/ed_hawkins/status/1763146301401624893;;;;;;
Società;Cosa serve per essere nell'1% più ricco del mondo;https://x.com/MorningBrew/status/1762957212912112034;;;;;;
Divertimento;Viaggio su strada algoritmico per visitare una strada per ogni giorno dell'anno;https://flowingdata.com/2024/02/29/algorithmic-road-trip-to-visit-a-street-named-after-each-day-of-the-year/;;;;;;
Clima;Valar estrae gas dall'aria con la fissione nucleare;https://x.com/isaiah_p_taylor/status/1720418162985054350;;;;;;
Genetica;Modifica 'epigenetica' riduce il colesterolo nei topi;https://substack.com/redirect/72bf8e95-cca7-4491-8bcd-85f81b5cc6ac;;;;;;
Sport;L'impatto dell'età sulla massa muscolare;https://x.com/hpfounder/status/1763536587281870858;;;;;;
Veicoli Elettrici;Nel 2022 circa 1 su 7 nuove auto vendute nel mondo erano elettriche;https://ourworldindata.us8.list-manage.com/track/click;;;;;;
Criptovalute;Approfondimento sugli ETF;https://x.com/intangiblecoins/status/1762865996447035600;;;;;;
Clima;Emissioni di CO2 nel 2023: nuovo record ma c'è speranza;https://www.iea.org/reports/co2-emissions-in-2023;;;;;;
Blockchain;Idee per l'anima;https://medium.com/@nvidiaomniverse/chatgpt-and-gpt-4-for-3d-content-generation-9cbe5d17ec15;;;;;;
Medicina;Sistema di rilevamento contro l'Alzheimer;https://substack.com/redirect/7c4a3a9b-c38d-4d44-bbfd-a45599e4fac6;;;;;;
Cervello;Brainco in Cina per monitorare il controllo scolastico;https://focuscalm.com/products/focuscalm-eeg-headband;;;;;;
Clima;Grani di riso integrati con cellule animali: scorciatoia per un sistema alimentare sostenibile;https://www.cell.com/matter/abstract/S2590-2385(24)00016-X;;;;;;
Intelligenza Artificiale;Studio sull'AI che sviluppa e ottimizza i propri prompt superando quelli umani;https://substack.com/redirect/a1c94168-03f8-4baf-9494-fdcadb1f676f;;;;;;
Intelligenza Artificiale;Minacciare GPT per un biglietto di Taylor Swift;https://substack.com/redirect/c0074a15-c28f-4c7e-ad97-427bd90c5504;;;;;;
Intelligenza Artificiale;Claude esegue simulazioni di Monte Carlo;https://youtu.be/9b7bx423SWk;;;;;;
Intelligenza Artificiale;Testo vs visione nell'intelligenza artificiale;https://x.com/ylecun/status/1766498677751787723;;;;;;
Società;L'importanza della dimensione e della densità della popolazione nell'innovazione;https://substack.com/redirect/e9ca8876-d983-4be4-bc75-f5db6d13f0a4;;;;;;
Tecnologia;L'intelligenza artificiale potrebbe gestire quasi tutti i passaggi del processo innovativo;https://substack.com/redirect/552f32aa-95fc-4ac8-be7f-01e60b954df4;;;;;;
Nucleare;Amazon acquista una centrale nucleare da 2;5 GW per alimentare il suo nuovo data center in Pennsylvania;https://substack.com/redirect/8a8e6942-06b3-4f61-bb51-44571b1d5fba;;;;;
Tecnologia;Gli schermi e l'effetto sulla comprensione e sulla società;https://substack.com/redirect/ae8ee948-1a41-4e3c-935e-ec6d4501d495;;;;;;
Intelligenza Artificiale;Superfast groq usercases;https://ci3.googleusercontent.com/meips/ADKq_NamwB97uFGxI2qMPIoN7W0eY2QBI8r9ESbMg-gwgIcjT09oYuXOfuOvZxAWT0AgLBlYhngZCB6cPFeCDPcq2Wb2oF-Wn7l8iX4EmUq0yFmfGPLKAFO6fEnZ_LQzajsaEIMHqiZAvCVrxlrbUF_fh1g2LC7Sequoi-XCKns0bzWjC72NEhL0cBvsJkdmGB5ltKZ24n3kyRsN2AJr3CzvKozm7bbyfin0Hi-MiRjksSWkUDSwHhviyvjCoQ8GRysJNnNJLhCgpYYwozdnVgjLaFjqA1A2ucCwMkiWQpfbD6qh_JuAz0JaD34wJQ=s0-d-e1-ft#https://substackcdn.com/image/fetch/w_1754;c_limit;f_auto;q_auto:good;fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F1a4c2b1a-023c-4540-b0bb-b2ca516cd263_877x1093.png;;
Tecnologia;Meet Brain Talker - interfaccia cervello-computer per leggere il loop fonologico emisferico sinistro della voce silenziosa;https://x.com/BrianRoemmele/status/1136275884422287361;;;;;;
Clima;Emissioni del Regno Unito nel 2023 ridotte ai livelli più bassi dal 1879;https://x.com/DrSimEvans/status/1767222825700425863;;;;;;
Criptovalute;Bitcoin ed economia;https://x.com/WClementeIII/status/1768042623091032415;;;;;;
Cervello;Manipolazione del cervello note di Telmo Pievani;corriere.it;;;;;;
Società;Giappone: nascite a un minimo record nel 2023 allontanandosi dall'inversione della tendenza di calo della natalità;https://chartr.us20.list-manage.com/track/click;;;;;;
Arte;Artista di Tokyo che muove la carta;https://www.itsnicethat.com/articles/shotaro-kitada-animation-discover-190224;;;;;;
Libro;"Nel suo nuovo libro ""Fluke"" Klaas sostiene la necessità di sostituire le semplicistiche analisi statistiche con una teoria degli eventi rari";https://luxcapital.us13.list-manage.com/track/click;;;;;;
Sport;Le 100 migliori squadre del mondo;https://x.com/MorningBrew/status/1761422231240950180;;;;;;
Tecnologia;Libro sui minerali;https://x.com/APompliano/status/1761404869674487810;;;;;;
Denaro;Prezzo del KWH di energia inflazionato;https://x.com/beaglebrigade/status/1761335116410835250;;;;;;
Benessere;Anche l'anima è duplice Hesse offre la sua prescrizione per resistere al facile cammino dell'illusione;https://themarginalian.us2.list-manage.com/track/click;;;;;;
Arte;Costruendo sulle sue fotomicrografie ipnotiche di api Fisher usa gli strumenti tecnologici della scienza per sondare le dimensioni poetiche e immateriali di un comportamento umano universale radiante infinite sfumature emotive;https://www.amazon.it/dp/1942658281;;;;;;
Ottimismo;I robot ci stanno arrivando!!;https://x.com/APompliano/status/1762204366381936776;;;;;;
Intelligenza Artificiale;Gemini corregge bug filmando;https://x.com/mckaywrigley/status/1762175776726663267;;;;;;
Giochi;Carte magiche generate dall'AI;https://x.com/emollick/status/1762480392513147003;;;;;;
Benessere;Twitter e ansia studio su Nature;https://x.com/emollick/status/1762567635873440173;;;;;;
Sport;La società con sede nel Minnesota Moxy ora vende un sensore di ossigeno muscolare delle dimensioni di un pacchetto di fiammiferi per 800 dollari;https://www.moxymonitor.com/;;;;;;
Sport;Statistiche per qualificarsi alla maratona di Boston;https://x.com/Outside_Run/status/1757057072418467905;;;;;;
Robot;"Il ""prodotto minimo viable"" nei campus universitari ha permesso a Starship e Alibaba di scalare le loro soluzioni di consegna autonoma";https://research.ark-invest.com/token-extensions-on-the-solana-blockchain-are-unleashing-opportunities-for-developers-and-more;;;;;;
Scienza;Pubblicità Pfizer contro il cancro al Super Bowl;https://www.youtube.com/watch;;;;;;
Intelligenza Artificiale;Google annuncia Gemini 1.5 un nuovo grande modello di linguaggio con una finestra di contesto di 1 milione di token;https://x.com/DrJimFan/status/1758275649373151671;;;;;;
Intelligenza Artificiale;Sora di OpenAI impara la fisica del nostro mondo text-2-video;https://x.com/DrJimFan/status/1758355680321519933;;;;;;
Clima;Nature Kamasutra;https://www.itsnicethat.com/news/glimpse-purpose-disruptors-agency-for-nature-advertising-140224;;;;;;
Mobilità;Alzare la parte frontale di un'auto di soli 10 centimetri la rende del 22% più probabile uccidere un pedone in un incidente;https://www.sciencedirect.com/science/article/pii/S2212012224000017;;;;;;
Clima;Un pioniere dell'estetica dell'intelligenza delle macchine l'artista e tecnologo Refik Anadol è noto per le sue opere multimediali innovative e le grandi installazioni pubbliche. Echoes of the Earth: Living Archive;https://www.serpentinegalleries.org/whats-on/refik-anadol-echoes-of-the-earth-living-archive/;;;;;;
Auto;Tesla;https://www.lamaoriauto.it/auto/nuove-pronta-consegna/varese/tesla/model-3/elettrica/rwd-highland-promo-tan-5-25/7577552/;;;;;;
Salute;Ultimi sviluppi del DNA;https://x.com/ElliotHershberg/status/1759306844194140319;;;;;;
VR;Vision Pro Gamification della pulizia;https://x.com/MorningBrew/status/1753432605800780027;;;;;;
Criptovalute;Gli ETF Bitcoin misurati per volume e flussi dall'inizio sono già il secondo ETF di materie prime più grande dietro l'oro;https://research.ark-invest.com/e3t/Ctc/I1+113/c3nSf04/VWKdh52B3DztVbXwBM2Z1jMDW5BVC1m59Mx7wN2nfYy03qgyTW7Y8-PT6lZ3n2W33w8q68155SCW8f1QR77ywGwdW4DB2rs68RxgpN15Pfh3f2LFMW5hbdlX1J8xblW5_QxgZ7fn80vW91cTjC8-GdV3N78jhX7NQdFKW7BbwgB7kv8p9W926KXQ6BZmHbN7DgVNFFGtSNN8Mvwy76dZ9xW4SRF0d51Ct7zW8cJ96H4cR79CW1sXZ445tzC0lW2LhDbn4PTcv0W2lJRVw6Nyzp0W8LPT7F5D37KxW7ykCC75FXyTYW5q7xhl6lT0YwW5Rd3XC1BNVtVW3RfF3Z5PN3NtVJKZGk3v-0zHW12GSFD9gBmVqW8PD0gn3XC3GFN394gxQg5bkYf27D1W-04;;;;;;
Intelligenza Artificiale;Sora sembra essere un passo avanti per i modelli multimodali che si sono già dimostrati utili nell'autonomia dei veicoli;https://research.ark-invest.com/e3t/Ctc/I1+113/c3nSf04/VWKdh52B3DztVbXwBM2Z1jMDW5BVC1m59Mx7wN2nfYyj3qgyTW8wLKSR6lZ3q2W6JtDg61sXXC1W8PqnFc5fvB07W61YNt13Jy4gtW1ydqcC4sqhBYW4wCDQb1mGBN9VvXlDN5dtKyRW6p1M1g5Rt6SsW155G1r90xXymW7wxxNv6yRkJ7W1tnjyz4fRx7FW7MWX7D6s_kPDW3fQVcV5FmgZFN4-S1DVYNLcNW2Y4Zj_1CnYLxN8D4vt6VjkBLW793GX01qDqG0W4330kc4Dj2R6W7Dy6CS6WrYygW98GxWg5Ggb-WW6vbgVp5gp-hRW99pMWk3kdRDvW3yKFWc6P02CwW5F1yB77_sBhVW2CNknD9lMs5pW6J94VS9df39nW3Hx3lY5f48sZVsw3S98h2dbrW6RKmg18ZKB5Kf6xyzMC04;;;;;;
Salute;I trapianti di organi sono molto più economici dell'alternativa. In Canada la dialisi costa 60.000 dollari per paziente all'anno rispetto ai 23.000 dollari per il trapianto di rene più 6.000 dollari all'anno per i farmaci a vita. Questo rappresenta un risparmio di 31.000 dollari nel primo anno e di 54.000 dollari negli anni successivi: circa 380.000 dollari in totale per paziente;https://academic.oup.com/jlb/article/5/2/398/5001540#120959670;;;;;;
Salute;Come rendere più comuni le donazioni (organi e plasma)? Nudge e gli Stati Uniti sono un grande esportatore netto di plasma sanguigno rappresentando quasi il 70 percento dell'offerta globale - e un altro 20 percento proviene dalla Germania;https://worksinprogress.co/issue/compensating-compassion/;;;;;;
Medicina;Silklab ricercatore italiano trova nuove applicazioni per la seta. Vaxess sta testando un cerotto cutaneo ricoperto di decine di microaghi fatti di proteina di seta e infusi con vaccino antinfluenzale;https://worksinprogress.co/issue/the-future-of-silk/;;;;;;
Clima;Coprire di seta una banana per aumentarne la durata ricercatore Omenetto da Pavia;https://news.mit.edu/2020/mit-based-startup-cambridge-crops-wraps-food-in-silk-0605;;;;;;
Libro;"Può essere molto doloroso eliminare passaggi pagine o addirittura capitoli che hanno richiesto settimane mesi forse anche anni per essere scritti. Tuttavia tale eliminazione disciplinata è fondamentale per l'arte. Bisogna come ha detto Stephen King ""uccidere i propri cari uccidere i propri cari anche quando ciò spezza il cuoricino egocentrico dello scribacchino uccidere i propri cari""";https://www.amazon.com/Writing-10th-Anniversary-Memoir-Craft/dp/1439156816;;;;;;
Società;Modificare e rimuovere un esempio di architettura minimalista;https://lifeedited.com/;;;;;;
Spazio;La NASA cerca 4 volontari per trascorrere un intero anno in una missione simulata su Marte in un habitat stampato in 3D simile a una duna;https://chartr.us20.list-manage.com/track/click;;;;;;
Sport;Bella visualizzazione della prima maratona;https://www.lkk-store.com/lkk-map/a/stories/hong-kong-marathon/;;;;;;
Realtà Aumentata;IA + VR la fine della civiltà troppo coinvolgente vision pro + Sora;https://x.com/blader/status/1758334235889578392;;;;;;
Intelligenza Artificiale;Registrazione schermo per compito automatizzato con IA;https://x.com/DynamicWebPaige/status/1760537379369304309?s=20;;;;;;
Spazio;Aggiornamento sullo spazio;https://www.notboring.co/p/weekly-dose-of-optimism-82;;;;;;
Volo;Consegne annuali Airbus vs Boeing (circa 0.5k);https://www.airbus.com/en/newsroom/press-releases/2024-02-airbus-reports-full-year-fy-2023-results;;;;;;
Società;Riduzione della povertà in Cina;https://ourworldindata.org/grapher/share-of-population-in-extreme-poverty?tab=chart&country=China+%28rural%29~China+%28urban%29&utm_source=OWID+Newsletter&utm_campaign=c2d226a77b-biweekly-digest-2024-02-16&utm_medium=email&utm_term=0_2e166c1fc1-3875482ed3-%5BLIST_EMAIL_ID%5D;;;;;;
Alimentazione;Prezzo del cacao raggiunge circa 10.000€ a causa del clima secco;https://www.bbc.com/news/business-68248145;;;;;;
Alimentazione;Introduzione della carne-riso: il grano con muscoli aggiunti aumenta le proteine;https://www.nature.com/articles/d41586-024-00398-w?utm_source=substack&utm_medium=email;;;;;;
Tecnologia;ARK Big Ideas 2024 Riassunto;https://www.zdnet.com/article/15-big-ideas-that-will-revolutionize-industries-and-economies-led-by-ai/;;;;;;
Clima;Sostenibilità dell'aviazione: volare - Twelve utilizza una tecnica chiamata elettrolisi che usa l'elettricità per rielaborare l'anidride carbonica e l'acqua in vari prodotti. Quando l'elettricità è generata da rinnovabili il processo è essenzialmente a zero emissioni di carbonio. Il reattore elettrochimico CO2 dell'azienda — chiamato OPUS — sarà al centro della sua prima fabbrica di produzione commerciale di SAF in costruzione a Moses Lake Washington che dovrebbe essere completata entro quest'anno. L'impianto funzionerà con energia idroelettrica e utilizzerà CO2 catturata da un vicino impianto di etanolo;;;;;;;
Clima;Percentuale di fotovoltaico per paese 2027 Cina 63%;;;;;;;
Scienza;Geologia religione e mistero: rocce in Virginia;https://www.themarginalian.org/2024/02/03/loren-eiseley-birds/?mc_cid=052403c5a0&mc_eid=d27999fecf;;;;;;
Medicina;Senza titolo;https://www.nature.com/articles/d41586-024-00305-3;;;;;;
Moda;Ferragamo NFT;https://www.vogue.com/article/have-a-free-nft-with-your-sneaker-salvatore-ferragamo-gets-web3-cool-in-soho-store;;;;;;
Realtà Aumentata;Van Gogh nella vita reale;https://www.instagram.com/reel/C2yWH8xLA74/;;;;;;
Sport;Essere grandi e partecipare a un Ironman;https://x.com/Alan_Couzens/status/1755988483003584973;;;;;;
Robot;Aggiornamento sui robot di Openai 2024 wow;https://x.com/MatthewBerman/status/1756012434794688599;;;;;;
Sport;Lo sport perfetto per Alan Couzens è lo sci alpinismo;https://x.com/Alan_Couzens/status/1756311287783473601;;;;;;
Intelligenza Artificiale;Dove potrebbero cadere i chip. Il produttore di chip cinese SMIC insieme a Huawei sta allestendo linee di produzione a Shanghai per sviluppare processori a 5nm dimostrando che l'industria dei semiconduttori della Cina sta facendo progressi nonostante le restrizioni internazionali;https://www.ft.com/content/b5e0dba3-689f-4d0e-88f6-673ff4452977;;;;;;
Clima;Grafico che mostra 1;5°C sopra i livelli del 1980 FT;https://www.ft.com/content/8927424e-2828-4414-86b7-f3a991214288?utm_source=substack&utm_medium=email;;;;;
Mente e Benessere;Viviamo nel futuro e vogliamo raggiungerlo: il 40% del nostro tempo “presente;;;;;;;
Criptovalute;NFT Vino Italia Ferrari;https://www.tannina.it/nft-e-vino/;;;;;;
Mente;Fare cose difficili e la voce nella nostra testa che ci dice di rilassarci;https://www.sahilbloom.com/newsletter/the-most-important-fight-of-your-life;;;;;;
Mobilità;Declino dello scuolabus: per il Dipartimento dei Dati del WP Andrew Van Dam nota il declino dello scuolabus e l'ascesa del veicolo privato per portare i bambini a scuola. Le stime si basano sulle risposte al National Household Travel Survey condotto dalla Federal Highway Administration;https://www.washingtonpost.com/business/2024/02/02/school-bus-era-ends/;;;;;;
Intelligenza Artificiale;L'allucinazione dei LLM che costruisce ogni oggetto esistente (e inesistente);https://neal.fun/infinite-craft/;;;;;;
Realtà Virtuale;Aumentare la risoluzione del video di 15 anni fa e ricreare la realtà;https://x.com/blizaine/status/1755740068017234114;;;;;;
Tecnologia;Ark big ideas 2024;https://drive.google.com/file/d/1WpTbyCy2Nwww9GkdkGhDfs73q4zBOhya/view?usp=drivesdk;;;;;;
Alimentazione;Come sottolineato non solo l'obesità è aumentata dal 2000 al 2008 ma è aumentata più velocemente tra il 2010 e il 2018. Perché l'ipotesi di McDonald's sia vera le persone dovrebbero iniziare a ingurgitare Chicken McNuggets a partire dal 1980;https://www.cdc.gov/nchs/products/databriefs/db360.htm;;;;;;
Metaverso;Midjourney nuovo dipendente precedentemente sviluppato Vision Pro presso Apple;https://x.com/DrJimFan/status/1754558101829881893;;;;;;
Intelligenza Artificiale;GPT su Tinder per farci avere figli;https://x.com/8teAPi/status/1754535819493405036;;;;;;
Criptovalute;Euro digitale basato sulla blockchain risultati sorprendenti. La privacy è la preoccupazione principale per il 43% dei rispondenti rispetto al 18% che si preoccupa della sicurezza;https://www.ecb.europa.eu/press/pr/date/2021/html/ecb.pr210414~ca3013c852.en.html;;;;;;
Criptovalute;Promesse e sfide delle applicazioni cripto + IA blog di Vitalik;https://vitalik.eth.limo/general/2024/01/30/cryptoai.html;;;;;;
Realtà Aumentata;Vision pro elementi di Blender;https://x.com/ammaar/status/1754711436193112554;;;;;;
Sport;Podcast di Huberman con David Goggins: Come costruire immensa forza interiore;https://www.youtube.com/watch;;;;;;
Sociale;Snap finanziario non va bene con ricavi molto più bassi di Meta;https://s25.q4cdn.com/442043304/files/doc_financials/2023/q4/Snap-Inc-Q4-2023-Investor-Presentation-Final.pdf;;;;;;
Società;San Valentino con Skyn profilattici e conversazione AI;https://youtu.be/GDjjWAEq9g4;;;;;;
Visualizzazione Dati;Cosa è accettabile durante il lavoro da remoto?https://today.yougov.com/economy/articles/48553-behaviors-americans-say-are-acceptable-virtual-meetings-tv-eating-drinking-poll?utm_source=chartr&utm_medium=newsletter&utm_campaign=chartr_20240207;;;;;;;
Citazione;La cosa più difficile da ammettere e realizzare con tutto il proprio essere è che da soli non si controlla nulla. Essere in grado di mettersi in sintonia o in ritmo con le forze oltre che sono quelle veramente operative quella è la sfida - e la soluzione se possiamo parlare di “soluzioni;https://themarginalian.us2.list-manage.com/track/click;;;;;;
Benessere;Il problema eterno dell'essere umano è come strutturare le sue ore di veglia;https://themarginalian.us2.list-manage.com/track/click;;;;;;
Citazione;L'ego il falso sé [è] la radice di tutto il male che entra nella terra e distrugge la vita umana e con essa naturalmente la realtà del tempo la realtà della presenza vissuta. L'ego vive solo nel futuro e nel passato;;;;;;;
Tecnologia;EV reader Ludwig Siegele evidenzia la rinascita della scrittura collaborativa esemplificata dal romanzo Fourteen Days che ha avuto 34 contributi di autori;https://substack.com/redirect/27610c27-a703-426e-b0b7-8f3b26075e5f;;;;;;
Intelligenza Artificiale;Robot addestrato a leggere il braille a doppia velocità degli umani;https://www.sciencedaily.com/releases/2024/01/240129122413.htm;;;;;;
Realtà Virtuale;Prime esperienze con Vision Pro;https://x.com/dr_cintas/status/1754213752499515568;;;;;;
